date,部门,详情链接,标题,下载链接,附件名,下载次数
2023-06-14,【教研教改】,https://jwch.fzu.edu.cn/info/1037/12832.htm,福州大学关于开展2023年省级一流本科课程申报推荐工作的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997759,"附件4：2023年省级一流本科课程申报说明.docx
附件7：虚拟仿真实验教学一流课程简介视频及教学引导视频技术要求.pdf
附件5：2023年福建省一流本科课程申报书.rar
附件6：国家虚拟仿真实验教学课程技术接口规范（2020版）.pdf
附件3：教育部办公厅关于开展第二批国家级一流本科课程认定工作的通知（教高厅函〔2021〕13号）.doc
附件1：福建省教育厅办公室关于开展2023年一流本科课程认定及推荐工作的通（闽教办高〔2023〕2号）.pdf
附件2：教育部关于一流本科课程建设的实施意见（教高〔2019〕8号）.doc","247
224
221
250
209
237
201"
2023-06-13,【教研教改】,https://jwch.fzu.edu.cn/info/1037/12830.htm,福州大学关于公布2021级数理金融实验班学生主辅修专业及导师名单的通知,,,
2023-06-12,【计划科】,https://jwch.fzu.edu.cn/info/1038/12829.htm,关于公布2023-2024学年第一学期修读辅修专业学生名单的通知,,,
2023-06-09,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12828.htm,关于2022-2023学年第二学期《大学英语（二）、（三）、（四）》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12995838,"2202英语二、四期末考试6.18下午.xlsx
2202英语三期末考试6.18上午.xlsx","294
326"
2023-06-09,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12827.htm,关于2022-2023学年第二学期《工程制图A（下）、C（下）、D、F》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12997452,2202 工程制图 期末考试安排 6.18下午.xlsx,140
2023-06-07,【综合科】,https://jwch.fzu.edu.cn/info/1035/12821.htm,关于转发12306手机客户端提供学生优惠资质在线核验服务的通知,,,
2023-06-05,【计划科】,https://jwch.fzu.edu.cn/info/1038/12808.htm,关于2023-2024学年第一学期修读辅修专业学生名单的公示,,,
2023-06-01,【注册中心】,https://jwch.fzu.edu.cn/info/1036/12807.htm,关于2022-2023学年第二学期《概率论与数理统计》课程期末考试安排的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12993877,2202概率期末考6.11下午.xlsx,375
2023-05-31,【实践科】,https://jwch.fzu.edu.cn/info/1039/12805.htm,关于公布第二十九期本科生科研训练计划立项项目的通知,,,
2023-05-30,【实践科】,https://jwch.fzu.edu.cn/info/1039/12804.htm,关于公布2023年本科生创新创业实践与素质拓展学分认定结果的通知,https://jwch.fzu.edu.cn//system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=12993329,福州大学本科生创新创业实践与素质拓展学分申报汇总表.doc,1913
